1929 or 1989?	1929年还是1989年?	1929年或1989年
The question raised in October 2003 by then US Secretary of Defense Donald Rumsfeld is no less relevant today: “Are we capturing, killing, or deterring and dissuading more terrorists every day than the madrassas and the radical clerics are recruiting, training, and deploying against us?” All things being equal, we probably are.	2003年10月，时任美国国防部长拉姆斯菲尔德曾提出一个问题，至今仍很中肯：“我们每天俘虏、击毙、关押和改造过来的恐怖分子，能比伊斯兰学校和激进宗教人士每天招募、训练和派遣出来反对我们的人数多吗？”如果将一切等量齐观，那我们也许已经做到了。但恐怖分子的任何一点微小成功，对开放社会都意味着高昂的生命和金钱成本，从这个意义上说，我们得不偿失。	时任美国国防部长Donald Rumsfeld在2003年10月提出的问题与今天同样相关 : “ 我们是不是每天抓捕、杀杀或阻抗和阻抗更多恐怖分子,比伊斯兰学校和激进神职人员招募、训练并部署来对付我们? ? ”所有事情都一样平等,我们很可能是。
The establishment of a Palestinian state will not be enough for those terrorists who want to see the elimination of the Jewish state, any more than reaching a compromise over Kashmir will satisfy those Pakistan-based terrorists with bigger agendas vis-à-vis India. Reducing unemployment is desirable, of course, but many terrorists do not come from poverty.	那我们该怎么办？可惜没有一蹴而就的办法。巴勒斯坦建国还是不够，因为恐怖分子想要消灭犹太人的国家；在克什米尔问题上达成妥协，也无法满足巴基斯坦恐怖分子对印度更大的领土要求。减少失业当然是件好事，但许多恐怖分子并非穷人出身。帮助中东和其他地方的社会变得更民主有助于缓解边缘化作用，遏制极端主义，但这说起来比做起来容易。	建立巴勒斯坦国并不足以帮助那些想看到消除犹太国的恐怖分子,只要在克什米尔问题上达成折中方案,就能满足那些以巴基斯坦为基地的恐怖分子对印度拥有更大议程的要求。 当然,减少失业是可取的,但许多恐怖分子并非来自贫困。
But what may be most important, particularly in the Arab and Islamic communities, is to end any acceptance of terrorism. The Nigerian father who warned the US embassy in Lagos that he feared what his own son might do – before that same young man attempted to detonate a bomb aboard a flight to Detroit on Christmas Day 2009 – is an example of just this.	当然，我们需要继续想办法，让我们变强，让恐怖分子变弱。但最重要的是阻止恐怖主义以任何方式进行传播，尤其是在阿拉伯和伊斯兰社会。2009年圣诞节，尼日利亚的一位父亲向美国驻拉各斯大使馆警告说，他担心他的儿子会做出可怕的事情来，从而阻止了后者在飞往底特律的航班上引爆一枚炸弹，这就是一个很好的例子。	最重要的是结束对恐怖主义的任何接受。 尼日利亚父亲警告拉各斯美国大使馆他担心自己儿子会做什么 — — 在那名年轻人试图在2009年圣诞日底特律航班上引爆炸弹前 — — 仅仅是一个例子。
Only when more parents, teachers, and community leaders behave likewise will recruitment of terrorists dry up and law-enforcement authorities receive full cooperation from the populations they police. Terrorism must lose its legitimacy among those who have historically supported or tolerated it before it will lose its potency.	只有当更多的父母、教师和社会领袖以这样的方式行动起来，才能令恐怖分子的来源枯竭，执法部门才能获得民众的全力配合。在那些传统上支持或纵容恐怖主义的地方，恐怖主义必须先丧失其合法性，才会进一步丧失能量。	只有当更多的家长、教师和社区领袖采取同样行为时,恐怖分子招聘工作才会干涸,执法部门才能得到警方与民众的充分合作。 恐怖主义必须失去在历史上支持或容忍恐怖主义者中的合法性,免得失去能力
Transatlantic Trade for All	所有人的跨大西洋贸易	跨大西洋通商
WASHINGTON, DC – The negotiations to create a Transatlantic Trade and Investment Partnership between the European Union and the United States are being widely welcomed. British Prime Minister David Cameron has called the TTIP a “once-in-a-generation prize,” citing potential gains of £80 billion ($125.5 billion) each for the EU and the US and £85 billion for the rest of the world.	华盛顿—欧盟和美国之间关于成立跨大西洋贸易和投资合作伙伴（TTIP）的谈判受到了广泛的欢迎。英国首相卡梅伦将TTIP称为“一代人只有一次的机会”，认为它将给欧盟和美国各带来800亿英镑的潜在收益，给世界其他地区带来850亿英镑的潜在收益。	华盛顿 — — 建立跨大西洋贸易和投资合作伙伴关系的谈判正广受欢迎。 英国首相卡梅伦称TTIP为“一代人后奖 ” , 引用欧盟和美国各800亿元(1 255亿美元)和世界其他国家850亿元的潜在增益
For a world weary of waiting for the World Trade Organization’s interminable Doha trade round to conclude, even a bilateral trade initiative may seem like a boon, especially when, as a recent Financial Times editorial pointed out, “bilateral” covers half of the world’s economy. But there is a serious downside: The deal could hurt developing-country exporters, unless the EU and the US make a concerted effort to protect these actors’ interests.	对于一个等待世贸组织冗长的多哈回合最后结果已经不耐烦的世界来说，即使是双边计划也像是天降恩惠，特别是在《金融时报》最近所指出的“双边”关系包括了世界经济半壁江山的当下。但风险也是巨大的：TTIP协议可能伤害发展中国家的出口，除非欧盟和美国携手保护这些行动方的利益。	令世界厌烦等待世界贸易组织无限多哈贸易回合结束,即使是双边贸易创举也似似是福,特别是正如金融时报最近社论指出的,“双边”覆盖世界一半经济时。 但有一个严重的下坡点:交易可能伤害发展中国家出口商,除非欧盟和美国一致努力保护这些角色的利益。
Given low tariffs in the EU and the US – less than 5%, on average – further preferential reductions will not seriously handicap outsiders. But, when it comes to standards – such as those governing safety, health, and the environment – the market-access requirements are brutal and binary: either you meet the established standard or you do not sell.	计划中的契约引起最多兴奋情绪的部分——其对强制性产品标准等监管壁垒的强调——实际上最应该引起关注。欧盟和美国关税很低——平均不到5%——因此进一步的优惠降税并不会严重影响其他国家。但是，在标准问题上——比如涉及安全、健康和环境的标准——市场准入标准是严酷且二分的：要么满足规定的标准，要么别来这里卖东西。	考虑到欧盟和美国低关税平均不到5 % , 进一步的特惠削减不会严重妨碍外部人。 但是,在标准方面 — — 诸如安全、健康和环境标准等 — — 市场准入需求是残酷二进制的:要么满足既定标准,要么不出售。
As a result, third-country firms’ options will depend on how TTIP standards are established: through harmonization (adoption of a common standard) or mutual recognition (acceptance of goods that meet one another’s established standards). The first option would enable producers everywhere to take advantage of economies of scale.	其结果是第三国企业的选择将取决于TTIP标准如何设置：通过协调（采取共同标准）还是通过互相承认（接受满足彼此规定标准的商品和服务）。第一种选择将让世界各地的生产者都能够利用规模经济的优势。但是，在一些场合，协调后的标准可能比某些国家原先的标准更加苛刻。	结果,第三国企业选择将取决于TTIP标准建立方式:通过协调(采用公共标准)或相互承认(接受彼此达标的货物 ) 。 第一种选择将使世界各地的生产者都能够利用规模经济。
Even though new standards would apply to suppliers from all exporting countries, compliance costs usually vary, meaning that those less equipped to meet higher standards could suffer. In the late 1990’s, when the EU decided to harmonize standards for aflatoxins (a group of toxic compounds produced by certain molds), eight member states – including Italy, the Netherlands, and Spain – raised their national standards substantially, which is likely to have caused African exports of cereals, dried fruits, and nuts to Europe to decline by as much as $670 million.	尽管新标准将适用于所有出口国供应商，但合规成本通常各不相同，这意味着更难以满足高标准的企业会遭受损失。20世纪90年代末，欧盟决定协调黄曲霉素标准（黄曲霉素是某些霉菌产生的有毒成分族），八个成员国——包括意大利、荷兰和西班牙——大幅度提高了国家标准，这或许就是非洲国家队欧洲的谷物、水果干和坚果对欧出口下降6.7亿美元的原因。	即便新标准适用于所有出口国的供应商,但守法成本通常不尽相同,这意味着那些设备不足达到更高标准者可能受害。 20世纪90年代后期,当欧盟决定协调黄曲霉毒标准时,8个成员国 — — 包括意大利、荷兰和西班牙 — — 大幅提高国家标准,这可能导致非洲谷类、干果和坚果出口欧洲下降6.7亿美元之多。
If the policy were extended to third-country firms, it would have a powerful liberalizing impact. For example, Malaysian television producers could choose to comply with, say, America’s easier-to-meet safety standards, then sell the same product in both markets, reaping the benefits of economies of scale while lowering compliance costs.	若采取互相承认，那么欧盟和美国将承认彼此的标准或合规评估程序，企业会在各种标准中选择不太苛刻的那种。如果该政策扩展到第三国企业，就会产生极大的自由化作用。比如，马来西亚电视生产商可能选择符合（比如）美国较易符合的安全标准，然后在欧美两地销售同样的产品，既享受了规模经济的好处，又降低了合规成本。	如果该策略扩展至第三国企业,它就会产生强大的自由化效果。 比方说,马来西亚电视制作者可以选择遵守 — — 比如 — — 美国更容易使用安全标准,然后在两个市场销售同样产品,从规模经济中获取利益同时降低守法成本
If, however, the TTIP excluded third-country firms from the mutual recognition policy, their competitiveness vis-à-vis European and American companies would diminish substantially. Indeed, our research shows that when mutual-recognition agreements include restrictive rules of origin, intra-regional trade increases – at the expense of trade with other countries – and that developing countries tend to suffer most.	但是，如果TTIP将第三国企业排除在互相承认政策之外，那么它们相对欧洲和美股公司的竞争力将受到极大的削弱。事实上，我们的研究表明，若互相承诺协议包括严格的来源国限制，则地区内贸易将增加，与其他国家的贸易会削弱，发展中国家损失最大。	如果TTIP排除第三国公司相互承认政策,则它们相对于欧洲和美国公司的竞争能力将大幅下降。 事实上,我们的研究表明,当相互承认协议包括限制性原创规则时,区域内部贸易增加 — — 牺牲与其他国家的贸易 — — 以及发展中国家往往受害最大。
In fact, excessively constraining rules of origin have proved problematic for some of the EU’s previous recognition agreements, such as those governing professional-services standards. While a Brazilian orange admitted for sale in Portugal can be sold throughout the EU, a Brazilian engineer or accountant licensed in Portugal must fulfill separate licensing requirements to work elsewhere in the EU, hampering much-needed labor mobility by forcing non-European workers to endure costly and inefficient bureaucratic procedures.	事实上，欧盟此前的不少承认协议（比如在专业服务标准方面）表明，过度约束的来源地规则很有问题大有问题。尽管获准在葡萄牙出售的巴西橙可以在整个欧盟出售，但获得葡萄牙执照的巴西工程师和会计师仍必须满足欧盟其他地区各自的执业要求，这迫使非欧洲工人忍受费时费力的官僚主义流程，不利于急需的劳动力流动。	过度约束原创规则证明对欧盟先前的一些识别协议有问题,比如专业服务标准协议。 虽然葡萄牙允许出售的巴西橙子可在整个欧盟销售,但葡萄牙许可的巴西工程师或会计师必须满足欧盟其他地方工作的不同许可要求,通过强迫非欧工经历代价低效官僚程序而阻碍急需的劳动力流动性。
Furthermore, when it comes to tariffs and standards, WTO rules are not created equal. While they protect countries excluded from bilateral or regional tariff agreements, thereby ensuring that integrated markets do not receive additional advantages, few safeguards exist to shield third countries from the fallout of agreements on mandatory standards.	此外，在关税和标准方面，世贸组织规则并不平等。尽管世贸组织规则保护着被双边和地区关税协定排除在外的国家，从而确保一体化市场不会获得其他附加的优势，但保护第三国免受强制性标准协议影响的保护措施几乎不存在。	此外,在关税和标准方面,世贸组织规则并不平等。 虽然这些规则保护被排除在双边或区域关税协议之外的国家,从而确保一体化市场不获得更多好处,但很少有保障措施保护第三国不受强制标准协议的波及。
First, they could allow all countries to reap the benefits of a bilateral mutual-recognition deal by agreeing not to impose restrictive rules of origin. Second, where they do consider harmonization, they could favor the less stringent of the original standards, unless there is credible evidence that it would not support the relevant regulatory objective.	即使没有国际法，欧盟和美国也可以采取两个动作确保TTIP不会损害发展中经济体。首先，它们可以同意不实施严格的来源地规则，这将使所有国家都能享受到双边互相承认协议的好处。其次，在考虑协调的领域，它们可以倾向于原始标准中较不苛刻的一个，除非有充分的证据表明这样做不利于相关监管目标。这类似于世贸组织的脱离现行国际标准测试。	第一,它们允许所有国家通过协议不强制约束源规则获取双边相互承认协议的好处。 第二,当它们考虑协调时,它们可以偏向原创标准中不那么严格的标准,除非有可信证据表明它不支持相关监管目标。
If the EU and the US made these two commitments, the rest of the world could follow the TTIP negotiations with hope, rather than trepidation.	如果欧盟和美国实施了这两点，世界其他国家将可以带着希望而不是恐惧追踪TTIP。	如果欧盟和美国做出这两项承诺,世界其余部分可以满怀希望跟踪TTIP谈判,而不是惊慌失措。
A Balanced Look at Sino-American Imbalances	中美贸易不平衡的平衡观	平衡观中美平衡
BEIJING – Before July 2007, most economists agreed that global imbalances were the most important threat to global growth. It was argued that the United States’ rising net foreign debt-to-GDP ratio – the result of chronic current-account deficits – would put a sharp brake on capital inflows, in turn weakening the dollar, driving up interest rates, and plunging the US economy into crisis.	发自北京——在2007年7月以前，大多数经济学家都认为全球增长的最重大威胁来自于全球贸易不平衡。他们觉得美国净外债与GDP比率的不断上升——这是长期经常账户赤字所引发的后果——将导致资金流入急剧减少，随之削弱美元，而后利率上涨，并最终令美国经济陷入危机当中。	北京 — — 2007年7月前,大多数经济学家都认为全球失衡是全球增长的最大威胁。 有人认为美国不断上升的净外债-GDP比 — — 由长期经常项目逆差造成的 — — 将大幅阻塞资本流入,转而削弱美元,推高利率并让美国经济陷入危机。
But this scenario failed to materialize. Instead, the crisis stemmed from the US sub-prime debacle, which quickly dragged the global economy into its deepest recession since the 1930’s.	但这一设想却未能成为现实，事实上本次危机源自于美国次级贷款的崩盘，并当即将全球经济拖入了一场自1930年代以来最为严重的衰退当中。	但这种假想未能实现。 相反,危机源于美国次贷崩溃,美国快速拖动全球经济进入自1930年代以来最深的衰退
Most economists failed to foresee the economic dynamics that actually led to the crisis, because they failed to pay enough attention to the rapid increase in US total debt. Instead, they focused exclusively on US foreign debt, ignoring household debt (mortgage and consumer debt), public debt, business debt, and financial debt.	而大多数经济学家之所以无法预见到危机背后的真正经济驱动力，是因为他们对美国总债务的快速增长缺乏足够的关注。实际上他们把注意力都放在了美国的外债上，却忽视了家庭负债（抵押贷款和消费者债务）、公共负债，商业债务和金融债务等方面的问题。	多数经济学家未能预见经济动态实际引致危机,因为他们没有足够关注美国总债务快速增长问题。 相反,他们只关注美国的外债,忽略家庭债务(抵押和消费债务 ) 、 公共债务、企业债务和金融债务
In particular, they should have paid greater attention to the sustainability of US mortgage and consumer debt. In 2007, the mortgage and consumer debt-to-GDP ratio was more than 90%, compared to 24% for net foreign debt.	他们尤其应当对美国抵押贷款和消费者债务的可持续性给予更多的关注。在2007年，上述两项负债与GDP的比率已经上升到90%以上，而与此同时净外债的相关比率只有24%。	特别是,他们本应该更多地关注美国按揭和消费者债务的可持续性问题。 2007年按揭和消费者债务-GDP比超过90%,而净外债比为24 % 。
Of course, the various components of debt differ considerably in their character and sources of financing – and thus in their sustainability. But all parts of a country’s total debt and how it is financed are interconnected.	当然，债务的不同组成部分也因各自的特性和资金来源而大不相同——而其可持续性也是如此。但一国总债务的各个组成部分及其资助方式之间显然是有所关联的。	诚然,各种债务构件在性质和资金来源 — — 并因此在可持续性上都大相径庭。 但国家总债务的所有部分及其融资方式是互连式的。
First, funds from different sources of finance are interchangeable to a certain degree: deficiency of funds for one component of total debt can be supplemented by surplus funds originally aimed at financing other components. Second, troubles in any single component of total debt will have an impact on all the other components.	这意味着两点，首先：来自不同融资来源的资金在某种程度上是可互换的：总债务中某项资金出现的赤字可以用原本提供给其他用途的多余资金来填补。其二，总债务中某一部分所导致的问题将对其他部分造成影响。	第一,不同资金来源的资金可在一定程度上互换性:总债务中缺缺部分可用原本旨在为其他构件融资的剩余资金补充。 第二,总债务中任何一个构件的故障都会对所有其他构件产生影响。
After the subprime crisis erupted, mortgage and consumer debt was paid down by households either with their savings or by default. The fall in US total debt, and the narrowing of the financing gap between total debt and domestic funds, led to a significant improvement in the US current-account deficit in 2008-2009, disproving US Federal Reserve Board Chairman Ben Bernanke’s claim that the deficit was caused by a global “saving glut.”	在次贷危机爆发之后，美国家庭只能用储蓄来支付抵押贷款和消费者债务，或者被迫放弃偿还。美国总债务的下降，以及总债务和国内资金之间财政缺口的缩窄，都使得美国经常账户赤字状况在2008-2009财年大大改善，也证明美联储主席伯南克宣称该赤字是由全球“储蓄偏好”所引发的观点是错误的。事实上尽管美元在避险需求下升值，美国经常账户状况却得到了巩固。	次级贷危机爆发后,按揭和消费者债务由家庭用储蓄或默认支付。 美国总债务下降和总债务与国内基金间融资缺口缩小导致2008-2009年美国经常项目逆差显著改善,并否定美联储委员会主席本·伯南克关于逆差由全球“节食过剩”所引起的说法。
To offset the negative impact of private-sector deleveraging on growth, the US government has maintained expansionary fiscal and monetary policies. Now, with household debt sustained on a knife-edge after feverish government intervention, the fiscal position has deteriorated dramatically and the current-account balance has worsened again.	但不幸的是，随着私人部门去杠杆化以及家庭储蓄的增加，由负债和消费驱动的美国经济陷入了衰退。为了减少私人部门去杠杆化对经济增长的负面影响，美国政府采取了一系列扩张性的货币和财政政策。如今政府大力干预后的家庭负债状况依然处于危险边缘，同时财政状况急剧恶化，经常账户平衡状况也再度变差。	为了抵消私人部门去杠杆化对增长的负面影响,美国政府保持扩张性财政和货币政策。 现在,家庭债务在热后政府干预后持续开刀,财政状况急剧恶化,经常项目平衡再次恶化。
Sustainability of public debt has replaced sustainability of private debt as the biggest threat to financial stability, and the focus of debate about the US current account has shifted from the sustainability of foreign debt to the impact of reducing the external deficit on growth and employment. The dilemma facing US policymakers is how to stimulate growth while lowering the level of total debt.	公共债务的可持续性已经取代私人债务成为美国金融稳定的最大问题，而针对美国经常账户状况的争论焦点也从外债的可持续性转移到外部赤字降低对增长和就业的影响。对此美国的政策制定者目前陷入了困境：一方面要促进增长，另一方面又得降低总债务水平。	公共债务的可持续性取代私人债务的可持续性成为金融稳定的最大威胁,而关于美国经常账户的辩论焦点从外债可持续性转向减少外部赤字对增长和就业的影响。 美国决策者所面临的难题是如何刺激增长同时降低总债务水平。
The most important way to achieve both objectives is to increase exports by strengthening US competitiveness. But where will increased competitiveness come from?	而实现这两大目标的最重要方式就是透过提升美国国家竞争力的方式来增加出口。但这些竞争力的提升又从何而来？，	实现这两个目标的最重要方法就是通过增强美国竞争力增加出口。 但提高竞争力从何而来?
Because rapid fiscal deterioration now has investors worrying about capital losses on US government securities, devaluation would make foreigners more hesitant to finance America’s budget deficit. If foreign financing is not forthcoming, yields on US government debt will rise and the US economy will fall back into recession.	将美元贬值的做法能在短期内提升美国的竞争力，但却非长久之策。因为财政状况的迅速恶化已经令投资者们对自己美国政府债券上的资本损失忧虑不已，此外贬值也将使外国人更不愿意资助美国的预算赤字。如果得不到外国资金，美国政府债务的收益率将被迫提升而美国经济也将重新陷入衰退。	快速财政恶化令投资者担心美国政府证券资本损失,货币贬值会使外国人对为美国预算赤字融资更加犹豫不决。 万一外国融资不来,美国政府债务收益率将上升,美国经济将回归衰退
In the long run, America’s growth pattern must undergo a structural shift from reliance on debt and consumption one based on Americans vaunted capacity for creativity and innovation. Only then will America improve its competitiveness enough to allow the government to reduce both private and public debt to sustainable levels while maintaining a respectable growth rate.	长期来说，美国的发展模式必须由原本对负债和消费的依赖转向美国人引以为荣的创新能力。只有这样美国才能真正提升其竞争力，并使政府可以在保持合理增长率的同时将私人和公共债务都降低到一个可持续的水平上。	从长远看,美国增长模式必须经历结构转换,从依赖债务和消费模式出发以美方炫耀的创造力和创新能力为基础。 只有到那时,美国才能提高竞争力足以让政府既把私人债务和公共债务降低到可持久水平,同时又保持可尊重的增长率。
In the short run, the US current-account deficit will remain, regardless of which country runs bilateral surpluses. Thus, China’s continued reinvestment of its current-account surplus in US government securities is of utmost important for US growth and financial stability.	但提升竞争力和减少总债务这两个目标都不可能一蹴而就。无论对其拥有双边贸易顺差的是哪一个国家，美国的经常账户赤字将在短期内继续存在。因此中国将其贸易盈余持续投资在美国政府债券上的行为对美国的经济增长和金融稳定都是极为重要的。	短期内,美国经常项目逆差将保持下去,不管哪个国家有双边顺差。 因此中国继续将其经常项目顺差再投资到美国政府证券中对美国增长和金融稳定至关重要。
Given that America benefits mightily from China’s purchases of US government securities, it is difficult to understand why the US government and Congress have been complaining so much about the bilateral current-account deficit. It is also difficult to grasp why China is so reluctant to reduce its bilateral surplus, given meager returns on its massive holdings of US government securities and a sustained risk of large capital losses in the future.	考虑到美国在中国购买美国国债方面获取的重大利益，我们很难理解美国政府和国会为何总是对中美双边经常账户赤字大肆抱怨。而于此同时，我们也难以解释中国为何不愿减少其双边贸易盈余，因为大规模持有美国政府债券回报极低，而且还存在着巨额资本流失风险。	考虑到美国从中国购买美国政府证券中大有裨益,很难理解美国政府和国会为何如此抱怨双边经常项目逆差。 也难理解中国为何如此不愿意减少双边顺差,因为大规模持有美国政府证券回报微弱,未来资本持续损失风险很大。
The good news is that, following President Hu Jintao’s recent visit to Washington, both America and China have been taking positive steps to resolve their differences over the bilateral current-account balance. That augurs well for a more rational and constructive Sino-American dialogue on global imbalances, which would certainly benefit the global economy.	但好消息是，在中国国家主席胡锦涛最近的访美之行中，中美两国都在解决双边贸易不平衡方面做出了积极的举措。这预示着一个更加理性也更富建设性的中美全球贸易不平衡对话，而这也将对全球经济有所裨益。	好消息是,在胡锦涛总统最近访问华府后,美中均采取积极步骤解决双边经常项目平衡分歧。 这对于中美全球平衡对话更加理性和建设性是好兆头,肯定有利于全球经济。
A Banking Union Baby Step	银行联盟第一步	银行联盟婴儿步
BRUSSELS – At the beginning of the financial crisis, it was said that banks were, in Charles Goodhart’s crisp phrase, “international in life, but national in death.” At the time (2008-2009), large international banks had to be rescued by their home countries’ governments when they ran into trouble.	布鲁塞尔—金融危机开始时，人们用查尔斯·古德哈特（Charles Goodhart）的名言来描述银行：“生而国际，死而民族。”当是时（2008—2009年），国际大银行在深陷困境时不得不由母国政府出手相救。但如今，欧洲的问题与此正好相反，银行“生而民族，死而欧洲”。	布鲁塞尔 — — 金融危机伊始,人们说银行在Charles Goodhart的直言中写道 , 即 : “ 生命中国际化,死后国民化 ” 。 时时(2008-2009年),大型国际银行在遭遇麻烦时不得不由母国政府营救
In Spain, for example, local savings banks (cajas) financed an outsize real-estate boom. As the boom turned to bust, the losses threatened to overwhelm the capacity of the Spanish state, and the problem became European, because it threatened the very survival of the euro.	比如，在西班牙，地方储蓄银行是超级地产繁荣的融资提供者。随着繁荣变为萧条，由此产生的损失已快要超过了西班牙整个国家的能力，这一问题变成了欧洲问题，因为事关欧元存亡。	以西班牙为例,本地储蓄银行(cajas)资助了超规模房地产繁荣。 经济繁荣转向崩溃时,损失威胁压倒西班牙国的能力,问题成为欧洲问题,因为它威胁欧元生存
National supervisors always tend to minimize problems at home. Their instinct (and their bureaucratic interest) is to defend their countries’ “national champion” bank(s) abroad.	西班牙的状况是一个更大问题的症状。国家层面的监管者总是试图最小化国内问题。他们的本能（也是他们官僚主义利益之所在）是捍卫“国宝”（national champion）银行在国外的表现。	国家监督者往往会将国内问题最小化。 他们的本能(和他们的官僚兴趣)是保护他们的国家的海外“国家冠军银行 ” 。
Until recently, the Spanish authorities maintained that the problems in their country’s real-estate sector were temporary. To acknowledge the truth would have meant admitting that for years they had overlooked the build-up of an unsustainable construction boom that now threatens to bankrupt the entire country.	但他们对辨认国内问题的抵触更加严重。直到最近，西班牙当局才不再坚持该国房地产部门问题不是暂时性的。承认真相意味着多年来他们忽略了不可持续建设繁荣的风险，以至于如今整个国家都陷入了破产危险。	西班牙当局直到最近都坚持说,西班牙房地产部门问题只是暂时问题。 承认实情意味着承认多年来他们忽略了不可持续兴建的兴建过程,如今有可能使整个国家破产。
In the case of Ireland, the situation was initially not much different. When problems started to surface, the finance minister at the time initially claimed that the country would carry out “the cheapest bank rescue ever.”	在爱尔兰，最初的情况与西班牙并没有太大不同。当问题开始浮现时，时任财政部长宣称爱尔兰将实行“史上成本最小的银行救援”。	以爱尔兰为例,情况一开始没有多大不同。 当问题开始浮出水面时,财政部长最初称该国将实施“有史以来最廉价银行营救 ” 。
Given national supervisors’ predictable tendency not to recognize problems at home, it seemed natural that the cost of cleaning up insolvent banks should also be borne at the national level. It thus seemed to make sense that even in the eurozone, banking supervision remained largely national.	不难预料，国家级监管者总是倾向于对国内问题视而不见，因此，清算资不抵债银行的成本应该由各国自行承担似乎是自然而然的事情。于是，即使是在欧元区，银行监管大体上仍维持各国各自为政的局面似乎也不无道理。新近成立的欧洲银行局所有用的权限比日常工作主要根据国内情况进行的国家级监管者大不了多少。	国家监督员的可预测趋势不承认国内问题,因此清理破产银行的成本似乎自然也应由国家一级承担。 即便在欧元区,银行监督在很大程度上仍是全国性的似乎也有道理。
But reality has shown that this approach is not tenable. Problems might originate at the national level, but, owing to monetary union, they quickly threaten the stability of the entire eurozone banking system.	但现实已经证明，这条道路走不通。问题也许肇始于国家层面，但是，由于货币联盟的存在，它们很快会威胁到整个欧元区银行系统的稳定性。	事实显示这一方法不可持久化。 问题可能发源于国家层面,但由于货币联盟,问题快速威胁整个欧元区银行系统的稳定
At their June summit, Europe’s leaders finally recognized the need to rectify this situation, transferring responsibility for banking supervision in the eurozone to the European Central Bank. Given that financial integration is particularly strong within the monetary union, putting the ECB in charge was an obvious choice.	在6月峰会上，欧洲领导人最终意识到修正这一情况、将欧元区银行监管职能移交给欧洲央行的重要性。作为货币联盟，金融一体化在欧元区非常牢固，这使得欧洲央行成了不二之选。	6月峰会上,欧洲领导人最终承认需要纠正这种情况,将欧元区银行监督职责转移给欧洲央行。 鉴于金融一体化在货币联盟中特别强,让欧洲央行掌权是一个显而易见的选择。
Moreover, the ECB already bears de facto responsibility for the stability of the eurozone’s banking system. But, until now, it had to lend massive amounts to banks without being able to judge their soundness, because all of that information was in the hands of national authorities who guarded it jealously and typically denied problems until it was too late.	此外，欧洲央行事实上早已承担起了维持欧元区银行系统稳定的职能。但是，迄今为止，欧洲央行仍必须在无法判断银行稳健程度的情况下向它们大规模贷款，因为所有信息都掌握在国家级监管者手中，而后者对此死抓不放，出了问题总是拼命掩盖，直到无法收场为止。	此外,欧洲央行已经对欧元区银行系统稳定负起实战责任。 但直到现在,它不得不向银行提供大额贷款而不能判断其健全性,因为所有信息都掌握在国家当局手中,而国家当局以嫉妒之心保护它,并通常拒绝问题直到为时过晚
Putting the ECB in charge should also help to stop the creeping disintegration process, which is not publicly visible, but is very real nonetheless. Just ask any of the large international banking groups headquartered in financially stressed eurozone countries.	让欧洲央行来行使此职能还有助于阻止正在潜滋暗长的去一体化过程，该过程尽管还没有进入公众视野，但已成为现实威胁。只消问问坐落于受困欧元区国家的任何大型国际银行集团总部便可推知一二。	由欧洲央行掌权应有助于停止爬动分解过程,这一过程非公开可见,但实事求是。 只需询问总部设在金融压力欧元区国家的任何大型国际银行集团
Consider the case of a bank headquartered in Italy, but with an important subsidiary in Germany. The German operations naturally generate a surplus of funds (given that savings in Germany far exceed investment on average).	就拿总部设在意大利的某家一行来说吧，这家银行在德国设有一家重要分行。德国分行自然手握资金盈余（因为平均而言德国储蓄远高于投资）。总行希望使用这笔资金增强整个集团的流动性。但德国监管当局认为意大利存在风险，因此反对资金转移。	考虑一家总部设在意大利但有一个重要的子公司在德国的银行案例。 德国业务自然产生剩余资金(假设德国储蓄平均远超投资 ) 。
It would like to see the “internal capital market” operate as much as possible. Here, too, it makes sense to have the ECB in charge as a neutral arbiter with respect to these opposing interests.	母国（意大利）监管者的利益正好与此相反。它希望看到“内部资本市场”操作，越多越好。在这里，让欧洲央行来充当尊重这些对立利益的中立仲裁者才是合适的。	美国希望看到“内部资本市场 ” 尽可能多地运行。 在这里,让欧洲央行作为中立仲裁者处理这些对立利益也是有道理的。
But, while putting the ECB in charge of banking supervision solves one problem, it creates another: can national authorities still be held responsible for saving banks that they no longer supervise?	但是，尽管让欧洲央行行使银行监管职能可以解决问题，但也会造成另一个问题：国家级监管当局是否需要继续对其不再行使监管职能的储蓄银行负责？	一方面让欧洲央行负责银行监督解决一个问题,另一方面又制造另一个问题:国家当局是否仍然要为它们不再监督的存银负责?
Officially, this has not yet been acknowledged. But that is often the way that European integration proceeds: an incomplete step in one area later requires further steps in related areas.	经济（和政治）逻辑意味着很快欧元区又需要一个共同银行援助基金。这一需要尚未被正式承认。但此乃欧洲一体化进程中的典型做法：在某领域出台的不完整措施要求在相关领域出台后续措施。	官方尚未确认这一点。 但欧洲一体化进程往往如此:后方需要相关领域进一步步骤,但一个领域不完全一步
This incremental approach has worked well in the past; indeed, today’s European Union resulted from it. But a financial crisis does not give policymakers the time that they once had to explain to voters why one step required another.	这一增量办法在过去效果甚丰；事实上，今天的欧盟就是这样产生的。但金融危机使得决策者不再像过去那样有时间向选民解释为什么一项措施会带来另一项措施。他们需要大大加快动作不乏，这样才能拯救欧元。	增量化方法过去效果良好;事实上,今天的欧盟由它产生。 但金融危机并不能让决策者有时间向选民解释为什么一步需要另一步。
The Renewed Promise of Abenomics	安倍经济学的新一轮承诺	Abenomics新允诺
